Fecha,Temperatura externa,Temperatura interna,Humedad externa,Humedad interna,Presion,Punto de rocio,Sensación térmica,Velocidad del viento,Lluvia diaria,Radiacion solar
12/01/2022 15:37,20.6,25.3,40,44,1025.9,6.5,20.6,2.7,0,62
12/01/2022 15:56,18.8,24.8,45,47,1026,6.6,18.8,2,0,42
12/01/2022 16:06,18.2,24.6,46,48,1026.1,6.4,18.2,2.4,0,35
12/01/2022 16:16,17.7,24.4,48,48,1026,6.5,17.7,2,0,36
12/01/2022 16:26,17.6,24.3,48,48,1026.1,6.5,17.6,2.7,0,16
12/01/2022 16:36,16.8,24.2,50,48,1026.1,6.3,16.6,3.1,0,11
12/01/2022 16:46,16.4,24.2,51,48,1026.2,6.2,16.4,2.4,0,10
12/01/2022 16:56,16.2,24.1,51,49,1026.3,6.1,16.2,1.7,0,17
12/01/2022 17:06,16.1,24.1,52,49,1026.4,6.2,15.5,4.1,0,17
12/01/2022 17:16,15.8,24,53,49,1026.1,6.2,15.8,2,0,8
12/01/2022 17:26,15.6,24,54,49,1026.6,6.3,15.4,2.7,0,3
12/01/2022 17:36,15.5,24,54,49,1026.6,6.2,15.5,1.4,0,0
12/01/2022 17:46,15.2,23.9,55,50,1026.5,6.2,15.2,1.4,0,0
12/01/2022 17:56,15,23.9,55,50,1026.6,6,15,1.4,0,0
12/01/2022 18:06,15,23.8,56,50,1026.7,6.3,15,1,0,0
12/01/2022 18:16,14.7,23.6,57,51,1026.7,6.3,14.7,1.4,0,0
12/01/2022 18:26,14.6,23.6,58,51,1026.8,6.4,14.6,1,0,0
12/01/2022 18:36,14.5,23.6,59,51,1026.7,6.6,14.4,2,0,0
12/01/2022 18:47,14.5,23.5,58,51,1026.8,6.3,14.5,0,0,0
12/01/2022 18:57,14.5,23.4,57,51,1026.8,6.1,14.5,0.7,0,0
12/01/2022 19:07,14.6,23.4,57,51,1027.2,6.2,14.6,1,0,0
12/01/2022 19:17,14.7,23.3,56,51,1027.2,6,14.7,1,0,0
12/01/2022 19:27,14.6,23.2,56,51,1027.4,5.9,14.6,0,0,0
12/01/2022 19:37,14.4,23.2,56,51,1027.5,5.7,14.4,0,0,0
12/01/2022 19:47,14.2,23.2,57,51,1027.7,5.8,14.2,0.3,0,0
12/01/2022 19:57,14.1,23.1,58,51,1027.9,6,14.1,0.7,0,0
12/01/2022 20:07,14,23,58,51,1027.7,5.9,14,0.7,0,0
12/01/2022 20:17,13.8,22.9,59,51,1028,5.9,13.8,0,0,0
12/01/2022 20:27,13.5,22.8,60,51,1028.2,5.9,13.5,0.7,0,0
12/01/2022 20:37,13.5,22.8,59,51,1028.3,5.6,13.5,0,0,0
12/01/2022 20:47,13.3,22.7,60,51,1028.1,5.7,13.3,0,0,0
12/01/2022 20:57,12.9,22.6,60,51,1028,5.3,12.9,0.7,0,0
12/01/2022 21:07,12.5,22.5,60,51,1028.2,4.9,12.5,0,0,0
12/01/2022 21:17,12.1,22.3,60,51,1028.1,4.6,12.1,0.3,0,0
12/01/2022 21:27,11.7,22.1,62,51,1028.2,4.7,11.7,0,0,0
12/01/2022 21:37,11.5,22.1,63,51,1028.3,4.7,11.5,0,0,0
12/01/2022 21:47,11.7,22,64,51,1028.5,5.1,11.7,0.3,0,0
12/01/2022 21:57,12.3,21.9,63,52,1028.5,5.5,12.3,1,0,0
12/01/2022 22:07,12.7,21.9,61,52,1028.6,5.4,12.5,1.7,0,0
12/01/2022 22:17,12.8,21.8,60,52,1028.5,5.2,12.7,1.7,0,0
12/01/2022 22:27,12.7,21.8,59,52,1028.4,4.9,12.7,1.4,0,0
12/01/2022 22:38,12.7,21.7,59,52,1028.4,4.9,12.7,0.3,0,0
12/01/2022 22:48,12.7,21.6,60,52,1028.3,5.1,12.7,0.3,0,0
12/01/2022 22:58,12.7,21.6,59,52,1028.3,4.9,12.1,2.4,0,0
